card_name,implementation,coverage_status,rules_test_status
"Malcolm, Keen-Eyed Navigator",malcolm_treasure_trigger_v1,declared,pending_pilot_rules_validation
"Breeches, Brazen Plunderer",breeches_exile_top_cards_v1,declared,pending_pilot_rules_validation
Glint-Horn Buccaneer,glint_horn_buccaneer_v1,declared,pending_pilot_rules_validation
Curiosity,curiosity_optional_damage_draw_v1,declared,pending_pilot_rules_validation
"Niv-Mizzet, the Firemind",niv_mizzet_firemind_v1,declared,pending_pilot_rules_validation
Psychosis Crawler,psychosis_crawler_v1,declared,pending_pilot_rules_validation
Dualcaster Mage,dualcaster_mage_copy_trigger_v1,declared,pending_pilot_rules_validation
Twinflame,twinflame_strive_copy_v1,declared,pending_pilot_rules_validation
Electroduplicate,electroduplicate_flashback_v1,declared,pending_pilot_rules_validation
Lightning-Rig Crew,lightning_rig_crew_v1,declared,pending_pilot_rules_validation
Crab Umbra,crab_umbra_untap_totem_armor_v1,declared,pending_pilot_rules_validation
Drift of Phantasms,drift_phantasms_transmute_mv3_v1,implemented,pending_pilot_rules_validation
Muddle the Mixture,muddle_counter_transmute_mv2_v1,implemented,pending_pilot_rules_validation
Dizzy Spell,dizzy_spell_transmute_mv1_v1,implemented,pending_pilot_rules_validation
Step Through,step_through_wizardcycling_v1,implemented,pending_pilot_rules_validation
Vedalken Aethermage,vedalken_aethermage_wizardcycling_v1,implemented,pending_pilot_rules_validation
Invert // Invent,invert_invent_split_instant_v1,implemented,pending_pilot_rules_validation
Long-Term Plans,long_term_plans_third_from_top_v1,implemented,pending_pilot_rules_validation
Siren Stormtamer,siren_stormtamer_protection_v1,declared,pending_pilot_rules_validation
Spectral Sailor,spectral_sailor_flash_draw_v1,declared,pending_pilot_rules_validation
Storm Fleet Sprinter,storm_fleet_sprinter_v1,declared,pending_pilot_rules_validation
Wily Goblin,wily_goblin_treasure_etb_v1,declared,pending_pilot_rules_validation
Sol Ring,sol_ring_mana_v1,declared,pending_pilot_rules_validation
Arcane Signet,arcane_signet_mana_v1,declared,pending_pilot_rules_validation
Izzet Signet,izzet_signet_filter_v1,declared,pending_pilot_rules_validation
Prismatic Lens,prismatic_lens_filter_v1,declared,pending_pilot_rules_validation
Fellwar Stone,fellwar_stone_opponent_color_v1,declared,pending_pilot_rules_validation
Mind Stone,mind_stone_mana_draw_v1,declared,pending_pilot_rules_validation
Prismari Command,prismari_command_modes_v1,declared,pending_pilot_rules_validation
Commit // Memory,commit_memory_aftermath_v1,implemented,pending_pilot_rules_validation
