name,face_name,face,set,collector_number,version,url,local_path,download_status,size_bytes,sha256
"Malcolm, Keen-Eyed Navigator","Malcolm, Keen-Eyed Navigator",front,lcc,161,small,https://cards.scryfall.io/small/front/5/1/51187cdb-85ee-4f68-9e29-d84d296f0825.jpg?1783913885,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/lcc_161_malcolm_keen_eyed_navigator_front_small.jpg,pending_external_download,,
"Malcolm, Keen-Eyed Navigator","Malcolm, Keen-Eyed Navigator",front,lcc,161,normal,https://cards.scryfall.io/normal/front/5/1/51187cdb-85ee-4f68-9e29-d84d296f0825.jpg?1783913885,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/lcc_161_malcolm_keen_eyed_navigator_front_normal.jpg,pending_external_download,,
"Breeches, Brazen Plunderer","Breeches, Brazen Plunderer",front,lcc,217,small,https://cards.scryfall.io/small/front/f/b/fb6dc94e-9b57-4161-a835-15e46c3bb13a.jpg?1783913866,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/lcc_217_breeches_brazen_plunderer_front_small.jpg,pending_external_download,,
"Breeches, Brazen Plunderer","Breeches, Brazen Plunderer",front,lcc,217,normal,https://cards.scryfall.io/normal/front/f/b/fb6dc94e-9b57-4161-a835-15e46c3bb13a.jpg?1783913866,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/lcc_217_breeches_brazen_plunderer_front_normal.jpg,pending_external_download,,
Glint-Horn Buccaneer,Glint-Horn Buccaneer,front,pm20,141p,small,https://cards.scryfall.io/small/front/7/7/77ebcca3-fc2c-4a99-b637-110080d5573d.jpg?1783932876,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/pm20_141p_glint_horn_buccaneer_front_small.jpg,pending_external_download,,
Glint-Horn Buccaneer,Glint-Horn Buccaneer,front,pm20,141p,normal,https://cards.scryfall.io/normal/front/7/7/77ebcca3-fc2c-4a99-b637-110080d5573d.jpg?1783932876,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/pm20_141p_glint_horn_buccaneer_front_normal.jpg,pending_external_download,,
Curiosity,Curiosity,front,a25,52,small,https://cards.scryfall.io/small/front/f/d/fdd040ac-7e96-4082-a2d9-13d7dd26829e.jpg?1783935180,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/a25_52_curiosity_front_small.jpg,pending_external_download,,
Curiosity,Curiosity,front,a25,52,normal,https://cards.scryfall.io/normal/front/f/d/fdd040ac-7e96-4082-a2d9-13d7dd26829e.jpg?1783935180,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/a25_52_curiosity_front_normal.jpg,pending_external_download,,
"Niv-Mizzet, the Firemind","Niv-Mizzet, the Firemind",front,c17,185,small,https://cards.scryfall.io/small/front/1/1/110bc297-06bd-42e2-8ea1-59f6a81e5c53.jpg?1783935877,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/c17_185_niv_mizzet_the_firemind_front_small.jpg,pending_external_download,,
"Niv-Mizzet, the Firemind","Niv-Mizzet, the Firemind",front,c17,185,normal,https://cards.scryfall.io/normal/front/1/1/110bc297-06bd-42e2-8ea1-59f6a81e5c53.jpg?1783935877,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/c17_185_niv_mizzet_the_firemind_front_normal.jpg,pending_external_download,,
Psychosis Crawler,Psychosis Crawler,front,blc,282,small,https://cards.scryfall.io/small/front/8/f/8fa39403-6de1-4b05-bc95-e24a89b7fdf7.jpg?1783910647,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/blc_282_psychosis_crawler_front_small.jpg,pending_external_download,,
Psychosis Crawler,Psychosis Crawler,front,blc,282,normal,https://cards.scryfall.io/normal/front/8/f/8fa39403-6de1-4b05-bc95-e24a89b7fdf7.jpg?1783910647,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/blc_282_psychosis_crawler_front_normal.jpg,pending_external_download,,
Dualcaster Mage,Dualcaster Mage,front,c20,150,small,https://cards.scryfall.io/small/front/a/3/a3508f2a-a800-4e55-8f65-29bd2f0aefb4.jpg?1783931172,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/c20_150_dualcaster_mage_front_small.jpg,pending_external_download,,
Dualcaster Mage,Dualcaster Mage,front,c20,150,normal,https://cards.scryfall.io/normal/front/a/3/a3508f2a-a800-4e55-8f65-29bd2f0aefb4.jpg?1783931172,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/c20_150_dualcaster_mage_front_normal.jpg,pending_external_download,,
Twinflame,Twinflame,front,soc,258,small,https://cards.scryfall.io/small/front/8/5/85c863ef-b266-410d-87b3-ced791f99966.jpg?1783903769,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/soc_258_twinflame_front_small.jpg,pending_external_download,,
Twinflame,Twinflame,front,soc,258,normal,https://cards.scryfall.io/normal/front/8/5/85c863ef-b266-410d-87b3-ced791f99966.jpg?1783903769,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/soc_258_twinflame_front_normal.jpg,pending_external_download,,
Electroduplicate,Electroduplicate,front,fdn,85,small,https://cards.scryfall.io/small/front/a/b/abb06b1c-5d4e-49b9-9c4a-e60ab656a257.jpg?1783909104,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/fdn_85_electroduplicate_front_small.jpg,pending_external_download,,
Electroduplicate,Electroduplicate,front,fdn,85,normal,https://cards.scryfall.io/normal/front/a/b/abb06b1c-5d4e-49b9-9c4a-e60ab656a257.jpg?1783909104,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/fdn_85_electroduplicate_front_normal.jpg,pending_external_download,,
Lightning-Rig Crew,Lightning-Rig Crew,front,xln,150,small,https://cards.scryfall.io/small/front/e/b/eb4a34ce-94d5-4e4d-97cc-1326cf5241f5.jpg?1783935743,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/xln_150_lightning_rig_crew_front_small.jpg,pending_external_download,,
Lightning-Rig Crew,Lightning-Rig Crew,front,xln,150,normal,https://cards.scryfall.io/normal/front/e/b/eb4a34ce-94d5-4e4d-97cc-1326cf5241f5.jpg?1783935743,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/xln_150_lightning_rig_crew_front_normal.jpg,pending_external_download,,
Crab Umbra,Crab Umbra,front,roe,58,small,https://cards.scryfall.io/small/front/3/f/3fe6e1ce-bc46-4f86-9504-f8cc062ed3c6.jpg?1783941999,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/roe_58_crab_umbra_front_small.jpg,pending_external_download,,
Crab Umbra,Crab Umbra,front,roe,58,normal,https://cards.scryfall.io/normal/front/3/f/3fe6e1ce-bc46-4f86-9504-f8cc062ed3c6.jpg?1783941999,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/roe_58_crab_umbra_front_normal.jpg,pending_external_download,,
Drift of Phantasms,Drift of Phantasms,front,plst,RAV-46,small,https://cards.scryfall.io/small/front/f/5/f5388f0c-d7d7-40d7-ae23-589c80ecd881.jpg?1783929716,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/plst_RAV-46_drift_of_phantasms_front_small.jpg,pending_external_download,,
Drift of Phantasms,Drift of Phantasms,front,plst,RAV-46,normal,https://cards.scryfall.io/normal/front/f/5/f5388f0c-d7d7-40d7-ae23-589c80ecd881.jpg?1783929716,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/plst_RAV-46_drift_of_phantasms_front_normal.jpg,pending_external_download,,
Muddle the Mixture,Muddle the Mixture,front,rvr,50,small,https://cards.scryfall.io/small/front/e/6/e69d760c-48fb-4e7f-8611-547b0c22928c.jpg?1783913334,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/rvr_50_muddle_the_mixture_front_small.jpg,pending_external_download,,
Muddle the Mixture,Muddle the Mixture,front,rvr,50,normal,https://cards.scryfall.io/normal/front/e/6/e69d760c-48fb-4e7f-8611-547b0c22928c.jpg?1783913334,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/rvr_50_muddle_the_mixture_front_normal.jpg,pending_external_download,,
Dizzy Spell,Dizzy Spell,front,rav,43,small,https://cards.scryfall.io/small/front/6/e/6e0db10d-fb6d-44df-9ff2-6f1e0e8f8209.jpg?1783943689,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/rav_43_dizzy_spell_front_small.jpg,pending_external_download,,
Dizzy Spell,Dizzy Spell,front,rav,43,normal,https://cards.scryfall.io/normal/front/6/e/6e0db10d-fb6d-44df-9ff2-6f1e0e8f8209.jpg?1783943689,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/rav_43_dizzy_spell_front_normal.jpg,pending_external_download,,
Step Through,Step Through,front,mh2,392,small,https://cards.scryfall.io/small/front/c/5/c5688978-1744-4986-bda3-09629541b827.jpg?1783926737,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/mh2_392_step_through_front_small.jpg,pending_external_download,,
Step Through,Step Through,front,mh2,392,normal,https://cards.scryfall.io/normal/front/c/5/c5688978-1744-4986-bda3-09629541b827.jpg?1783926737,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/mh2_392_step_through_front_normal.jpg,pending_external_download,,
Vedalken Aethermage,Vedalken Aethermage,front,fut,61,small,https://cards.scryfall.io/small/front/4/9/496eb37d-5c8f-4dd7-a0a7-3ed1bd2210d6.jpg?1783943117,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/fut_61_vedalken_aethermage_front_small.jpg,pending_external_download,,
Vedalken Aethermage,Vedalken Aethermage,front,fut,61,normal,https://cards.scryfall.io/normal/front/4/9/496eb37d-5c8f-4dd7-a0a7-3ed1bd2210d6.jpg?1783943117,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/fut_61_vedalken_aethermage_front_normal.jpg,pending_external_download,,
Invert // Invent,Invert,front,grn,228,small,https://cards.scryfall.io/small/front/0/5/054a4e4f-8baa-41cf-b24c-d068e8b9a070.jpg?1783934111,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/grn_228_invert_front_small.jpg,pending_external_download,,
Invert // Invent,Invert,front,grn,228,normal,https://cards.scryfall.io/normal/front/0/5/054a4e4f-8baa-41cf-b24c-d068e8b9a070.jpg?1783934111,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/grn_228_invert_front_normal.jpg,pending_external_download,,
Invert // Invent,Invent,face_2,grn,228,small,https://cards.scryfall.io/small/front/0/5/054a4e4f-8baa-41cf-b24c-d068e8b9a070.jpg?1783934111,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/grn_228_invent_face_2_small.jpg,pending_external_download,,
Invert // Invent,Invent,face_2,grn,228,normal,https://cards.scryfall.io/normal/front/0/5/054a4e4f-8baa-41cf-b24c-d068e8b9a070.jpg?1783934111,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/grn_228_invent_face_2_normal.jpg,pending_external_download,,
Long-Term Plans,Long-Term Plans,front,scg,38,small,https://cards.scryfall.io/small/front/7/e/7e0422d9-9694-45b6-9c2b-2ca31198cebf.jpg?1783944886,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/scg_38_long_term_plans_front_small.jpg,pending_external_download,,
Long-Term Plans,Long-Term Plans,front,scg,38,normal,https://cards.scryfall.io/normal/front/7/e/7e0422d9-9694-45b6-9c2b-2ca31198cebf.jpg?1783944886,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/scg_38_long_term_plans_front_normal.jpg,pending_external_download,,
Siren Stormtamer,Siren Stormtamer,front,xln,79,small,https://cards.scryfall.io/small/front/7/2/72f7375c-2d9b-4738-b539-00e1949980e7.jpg?1783935772,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/xln_79_siren_stormtamer_front_small.jpg,pending_external_download,,
Siren Stormtamer,Siren Stormtamer,front,xln,79,normal,https://cards.scryfall.io/normal/front/7/2/72f7375c-2d9b-4738-b539-00e1949980e7.jpg?1783935772,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/xln_79_siren_stormtamer_front_normal.jpg,pending_external_download,,
Spectral Sailor,Spectral Sailor,front,jmp,178,small,https://cards.scryfall.io/small/front/3/b/3b591fef-21ca-4a3b-990b-d7897a405511.jpg?1783930446,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/jmp_178_spectral_sailor_front_small.jpg,pending_external_download,,
Spectral Sailor,Spectral Sailor,front,jmp,178,normal,https://cards.scryfall.io/normal/front/3/b/3b591fef-21ca-4a3b-990b-d7897a405511.jpg?1783930446,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/jmp_178_spectral_sailor_front_normal.jpg,pending_external_download,,
